iter	Passed	Remaining
426	1269	217
427	1272	214
428	1276	211
429	1279	208
430	1281	205
431	1284	202
432	1287	199
433	1290	196
434	1293	193
435	1296	190
436	1300	187
437	1302	184
438	1305	181
439	1308	178
440	1311	175
441	1314	172
442	1317	169
443	1320	166
444	1323	163
445	1326	160
446	1328	157
447	1331	154
448	1334	151
449	1337	148
450	1340	145
451	1342	142
452	1345	139
453	1348	136
454	1351	133
455	1354	130
456	1358	127
457	1361	124
458	1363	121
459	1366	118
460	1370	115
461	1373	112
462	1376	109
463	1379	107
464	1382	104
465	1385	101
466	1388	98
467	1391	95
468	1394	92
469	1397	89
470	1400	86
471	1402	83
472	1405	80
473	1408	77
474	1412	74
475	1414	71
476	1417	68
477	1419	65
478	1422	62
479	1425	59
480	1427	56
481	1430	53
482	1432	50
483	1435	47
484	1437	44
485	1439	41
486	1442	38
487	1444	35
488	1447	32
489	1450	29
490	1452	26
491	1455	23
492	1457	20
493	1460	17
494	1462	14
495	1465	11
496	1468	8
497	1470	5
498	1473	2
499	1476	0
