iter	Logloss
0	0.6877885597
1	0.6822661396
2	0.6774176077
3	0.6727253734
4	0.6677974651
5	0.6624916611
6	0.6567526338
7	0.6508663893
8	0.6460975755
9	0.6406227146
10	0.6355866449
11	0.6309626574
12	0.6264006801
13	0.6227870343
14	0.6179924048
15	0.613458097
16	0.6089948838
17	0.6043942398
18	0.5995495814
19	0.5972942895
20	0.5939124651
21	0.5914640478
22	0.5869497473
23	0.5824147149
24	0.5798116203
25	0.5758836736
26	0.5722931213
27	0.5688668105
28	0.5653718741
29	0.5608837698
30	0.5572436178
31	0.5538287275
32	0.5514642845
33	0.5478584036
34	0.5440897952
35	0.541408038
36	0.5397954948
37	0.5364403266
38	0.5338745941
39	0.5308653713
40	0.5281072902
41	0.5255257677
42	0.522569256
43	0.5201962518
44	0.5173450193
45	0.5147971233
46	0.5120872115
47	0.5095953857
48	0.5075010397
49	0.5059958726
50	0.5040492072
51	0.5020047944
52	0.5010279471
53	0.4989443424
54	0.4964742401
55	0.494220143
56	0.4920933458
57	0.4897461435
58	0.4876997885
59	0.4857196368
60	0.4834264472
61	0.4814374785
62	0.4792683636
63	0.477134205
64	0.475424802
65	0.4733405141
66	0.4712723035
67	0.4695289062
68	0.4676231984
69	0.465918507
70	0.4642583172
71	0.4625711192
72	0.4607228308
73	0.4592102196
74	0.457913722
75	0.4564895378
76	0.4549996338
77	0.4535804142
78	0.4521102242
79	0.4504140808
80	0.4488343691
81	0.4477074689
82	0.4467743424
83	0.4455537627
84	0.4441637086
85	0.442632363
86	0.441134403
87	0.4402690138
88	0.4386512818
89	0.4373139922
90	0.4359133445
91	0.4350213669
92	0.4336167776
93	0.4325694161
94	0.4314072266
95	0.4303227306
96	0.429466399
97	0.4285437948
98	0.4273101222
99	0.4263284841
100	0.4253466815
101	0.4244058703
102	0.4233481011
103	0.4221970863
104	0.421062562
105	0.4202174639
106	0.4195245654
107	0.4184851342
108	0.4176782871
109	0.4166929295
110	0.415857789
111	0.414785058
112	0.4139903853
113	0.4133393654
114	0.4124351564
115	0.4115698792
116	0.4106415391
117	0.4096433059
118	0.408880538
119	0.4081476741
120	0.4072156217
121	0.4063376313
122	0.405486679
123	0.4048993006
124	0.4040621182
125	0.4031822084
126	0.4022922832
127	0.4017019052
